ID,Acronym,Allen Level 1 Tissue,Allen Level 2 Tissue,Allen Level 3 Tissue,Allen Level 4 Tissue,Allen Level 5 Tissue,Allen Level 6 Tissue,Allen Level 7 Tissue,Allen Level 8 Tissue,Allen Level 9 Tissue,Tissue with gene expression,Mapped GTEx tissue
12898,GPi,,,,,,,"globus pallidus, internal segment",,,0,
4296,GPi,,,,,,,,"globus pallidus, internal segment, Left",,1,
4277,Str,,,,,,Striatum,,,,0,
4278,Cd,,,,,,,Caudate Nucleus,,,0,Caudate_basal_ganglia
12899,BCd,,,,,,,,Body of the Caudate Nucleus,,0,Caudate_basal_ganglia
4282,BCd,,,,,,,,,"Body of Caudate Nucleus, Left",1,Caudate_basal_ganglia
12900,HCd,,,,,,,,Head of the Caudate Nucleus,,0,Caudate_basal_ganglia
4280,HCd,,,,,,,,,"Head of Caudate Nucleus, Left",1,Caudate_basal_ganglia
12901,TCd,,,,,,,,Tail of the Caudate Nucleus,,0,Caudate_basal_ganglia
4281,TCd,,,,,,,,,"Tail of Caudate Nucleus, Left",1,Caudate_basal_ganglia
4290,Acb,,,,,,,Nucleus Accumbens,,,0,Nucleus_accumbens_basal_ganglia
4291,Acb,,,,,,,,"Nucleus Accumbens, Left",,1,Nucleus_accumbens_basal_ganglia
4287,Pu,,,,,,,Putamen,,,0,Putamen_basal_ganglia
4288,Pu,,,,,,,,"Putamen, Left",,1,Putamen_basal_ganglia
4321,Cl,,,,,Claustrum,,,,,0,
4322,Cl,,,,,,"Claustrum, Left",,,,1,
4391,DiE,,,Diencephalon,,,,,,,0,
4540,Hy,,,,Hypothalamus,,,,,,0,Hypothalamus
4665,MamR,,,,,Mammillary Region,,,,,0,Hypothalamus
13004,LHM,,,,,,"Lateral Hypothalamic Area, Mammillary Region",,,,0,Hypothalamus
13005,LHM,,,,,,,"Lateral Hypothalamic Area, Mammillary Region, Left",,,1,Hypothalamus
12910,PHA,,,,,,Posterior Hypothalamic Area,,,,0,Hypothalamus
4679,PHA,,,,,,,"Posterior Hypothalamic Area, Left",,,1,Hypothalamus
4541,PrOR,,,,,Preoptic Region,,,,,0,Hypothalamus
4542,PrOR,,,,,,"Preoptic Region, Left",,,,1,Hypothalamus
4517,SbT,,,,Subthalamus,,,,,,0,
4518,Sb,,,,,"Subthalamic Nucleus, Left",,,,,1,
4392,TH,,,,Thalamus,,,,,,0,
4393,DT,,,,,Dorsal Thalamus,,,,,0,
12920,DTA,,,,,,Anterior Group of Nuclei,,,,0,
4395,DTA,,,,,,,"Anterior Group of Nuclei, Left",,,1,
12921,ILc,,,,,,Caudal Group of intralaminar Nuclei,,,,0,
4437,ILc,,,,,,,"Caudal Group of Intralaminar Nuclei, Left",,,1,
12922,LGd,,,,,,Dorsal Lateral Geneiculate Nucleus,,,,0,
4440,LGd,,,,,,,"Dorsal Lateral Geniculate Nucleus, Left",,,1,
12923,DTL,,,,,,Lateral Group of Nuclei,,,,0,
12924,DTLd,,,,,,,"Lateral Group of Nuclei, Dorsal Division",,,0,
4409,DTLd,,,,,,,,"Lateral group of Nuclei, Left, Dorsal Division",,1,
12925,DTLv,,,,,,,"Lateral Group of Nuclei, Ventral Division",,,0,
4417,DTLv,,,,,,,,"Lateral group of Nuclei, Left, Ventral division",,1,
12927,DTM,,,,,,Medial Group of Nuclei,,,,0,
4400,DTM,,,,,,,"Medial Group of Nuclei, Left",,,1,
12929,ILr,,,,,,Rostral Group of Intralaminar Nuclei,,,,0,
4432,ILr,,,,,,,"Rostral Group of intralaminar Nuclei, Left",,,1,
4504,VT,,,,,Ventral Thalamus,,,,,0,
4505,VT,,,,,,"Ventral Thalamus, Left",,,,0,
4506,R,,,,,,,"Reticular Nucleus of Thalamus, Left",,,1,
4507,ZI,,,,,,,"Zona Incerta, Left",,,1,
9001,MES,,,Mesencephalon,,,,,,,0,
9002,MTg,,,,Midbrain Tegmentum,,,,,,0,
9053,RN,,,,,Red Nucleus,,,,,0,
9054,RN,,,,,,"Red Nucleus, Left",,,,1,
9072,SN,,,,,Substantia Nigra,,,,,0,Substantia_nigra
9073,SN,,,,,,"Substantia Nigra, Left",,,,0,Substantia_nigra
9074,SNC,,,,,,,"Substantia Nigra, pars compacta, Left",,,1,Substantia_nigra
9075,SNR,,,,,,,"Substantia Nigra, pars reticulata, Left",,,1,Substantia_nigra
9066,VTA,,,,,ventral tegmental area,,,,,0,
9067,VTA,,,,,,"ventral tegmental area, Left",,,,1,
4833,Met,,,Metencephalon,,,,,,,0,
4696,Cb,,,,Cerebellum,,,,,,0,Cerebellar_Hemisphere
4697,CbCx,,,,,Cerebellar Cortex,,,,,0,Cerebellar_Hemisphere
12930,CbH,,,,,,Cerebellar Hemispheres,,,,0,Cerebellar_Hemisphere
12931,Cb-AL,,,,,,,Anterior Lobe,,,0,Cerebellar_Hemisphere
12935,Cb-V,,,,,,,,V,,0,Cerebellar_Hemisphere
4720,PV-V,,,,,,,,,"V, Left Paravermis",1,Cerebellar_Hemisphere
12936,Cb-PL,,,,,,,Posterior Lobe,,,0,Cerebellar_Hemisphere
12937,Cb-VI,,,,,,,,VI,,0,Cerebellar_Hemisphere
4722,PV-VI,,,,,,,,,"VI, Left Paravermis",1,Cerebellar_Hemisphere
4738,He-VI,,,,,,,,,"VI, Left Lateral Hemisphere",1,Cerebellar_Hemisphere
12938,Cb-Crus I,,,,,,,,Crus I,,0,Cerebellar_Hemisphere
4723,PV-Crus I,,,,,,,,,"Crus I, Left Paravermis",1,Cerebellar_Hemisphere
4739,He-Crus I,,,,,,,,,"Crus I, Left Lateral Hemisphere",1,Cerebellar_Hemisphere
12939,Cb-Crus II,,,,,,,,Crus II,,0,Cerebellar_Hemisphere
4740,He-Crus II,,,,,,,,,"Crus II, Left Lateral Hemisphere",1,Cerebellar_Hemisphere
12940,Cb-VIIB,,,,,,,,VIIB,,0,Cerebellar_Hemisphere
4725,PV-VIIB,,,,,,,,,"VIIB, Left Paravermis",1,Cerebellar_Hemisphere
4741,He-VIIB,,,,,,,,,"VIIB, Left Lateral Hemisphere",1,Cerebellar_Hemisphere
4780,CbN,,,,,Cerebellar Nuclei,,,,,0,Cerebellar_Hemisphere
12946,Dt,,,,,,Dentate Nucleus,,,,0,Cerebellar_Hemisphere
4782,Dt,,,,,,,"Dentate Nucleus, Left",,,1,Cerebellar_Hemisphere
9131,Pons,,,,Pons,,,,,,0,
9132,Bpons,,,,,Basal Part of Pons,,,,,0,
9133,Pn,,,,,,pontine nuclei,,,,0,
9492,Pn,,,,,,,"pontine nuclei, Left",,,1,
9135,PTg,,,,,Pontine Tegmentum,,,,,0,
9160,PPRF,,,,,,Paramedian Pontine Reticular Formation,,,,0,
9161,PRF,,,,,,,"Pontine Reticular Formation, Left",,,1,
9512,MY,,,Myelencephalon,,,,,,,0,
9519,Arc,,,,arcuate nucleus of medulla,,,,,,0,
9520,Arc,,,,,"arcuate nucleus of medulla, Left",,,,,1,
9542,Cu,,,,cuneate nucleus,,,,,,0,
9543,Cu,,,,,"cuneate nucleus, Left",,,,,1,
9560,IO,,,,inferior olivary complex,,,,,,0,
9561,IO,,,,,"inferior olivary complex, Left",,,,,1,
9587,MeRF,,,,medullary reticular formation,,,,,,0,
9597,GiRt,,,,,gigantocellular group,,,,,0,
9598,GiRt,,,,,,"gigantocellular group, Left",,,,1,
9613,LMRt,,,,,lateral medullary reticular group,,,,,0,
9614,LMRt,,,,,,"lateral medullary reticular group, Left",,,,1,
9676,Sp5,,,,spinal trigeminal nucleus,,,,,,0,
9677,Sp5,,,,,"spinal trigeminal nucleus, Left",,,,,1,
9697,8Ve,,,,vestibular nuclei,,,,,,0,
9698,8Ve,,,,,"vestibular nuclei, Left",,,,,1,
